Job ID,Dataset,Preserve order,Num cpus,Concurrency,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
2000000,1kds,False,6,1,8,177584,1000,12,67.77799248695374,14.754051622176403,62.92234659194946,15.892604999063147
2000000,10kds,False,6,1,8,1773068,10000,99,567.8066220283508,17.61162975570351,563.2259759902954,17.75486292587525
3000000,1kds,False,6,2,8,179168,1000,24,43.31632208824158,23.0859858776296,38.40094518661499,26.04102568674688
3000000,10kds,False,6,2,8,1773068,10000,99,271.7956681251526,36.79234503250193,267.2604966163635,37.4166782094789
4000000,1kds,False,6,3,8,180752,1000,36,30.28854179382324,33.01578553391865,27.06886577606201,36.94281128263366
4000000,10kds,False,6,3,8,1773068,10000,99,194.9898829460144,51.2847120523101,190.5505096912384,52.47952375568904
5000000,1kds,False,6,4,8,182336,1000,48,23.39683175086975,42.74082964086905,20.405815839767456,49.005636817086746
5000000,10kds,False,6,4,8,1773068,10000,99,144.8146469593048,69.05378848045775,140.37173128128052,71.2394148645338
6000000,1kds,False,6,5,8,183920,1000,60,22.705215215682983,44.04274482759707,19.62719750404358,50.94970893292233
6000000,10kds,False,6,5,8,1773068,10000,99,126.34695267677309,79.14714037925779,121.78042197227478,82.11500533539501
8000000,1kds,False,6,6,8,185504,1000,72,20.076613664627075,49.80919674526073,16.989910125732422,58.85846320548978
8000000,10kds,False,6,6,8,1773068,10000,99,113.66005897521973,87.98165415504675,109.11427783966064,91.64703463184377
9000000,1kds,False,6,7,8,187088,1000,84,19.29343748092652,51.83109546904743,16.250903129577637,61.53504159285393
9000000,10kds,False,6,7,8,1773068,10000,99,104.19316387176514,95.97558638594964,99.70260787010191,100.29827918873048
0a000000,1kds,False,6,8,8,188672,1000,96,18.53333854675293,53.9568193543414,15.490979194641112,64.55369847413752
0a000000,10kds,False,6,8,8,1773068,10000,99,95.59978818893433,104.60274221776466,90.0969135761261,110.99159341957528
0b000000,1kds,False,6,9,8,190256,1000,108,18.097883224487305,55.25508080674054,14.914661407470703,67.04811947652418
0b000000,10kds,False,6,9,8,1774256,10000,108,97.39783382415771,102.67168793562723,92.91409873962402,107.62629284090998
0c000000,1kds,False,6,10,8,191840,1000,120,17.663980722427368,56.61238062439308,14.503085613250732,68.95084443867248
0c000000,10kds,False,6,10,8,1775840,10000,120,86.39326333999634,115.74976581965082,81.79298686981201,122.2598707138152
0d000000,1kds,False,6,11,8,193424,1000,132,16.983541011810303,58.8805361205065,13.95361328125,71.6660251251006
0d000000,10kds,False,6,11,8,1777424,10000,132,84.10262560844421,118.90235206873211,79.60186123847961,125.62520328564868
0e000000,1kds,False,6,12,8,195008,1000,144,16.471436738967896,60.71115810038683,13.41553521156311,74.54044763999282
0e000000,10kds,False,6,12,8,1779008,10000,144,81.16836285591125,123.20071082069052,76.62370872497559,130.5079089279385
0f000000,1kds,False,6,13,8,196592,1000,156,17.070177793502808,58.58169798211572,14.050482273101808,71.1719342128488
0f000000,10kds,False,6,13,8,1780592,10000,156,79.53471326828003,125.73126360899565,74.99893379211426,133.33522884096584
10000000,1kds,False,6,14,8,198176,1000,168,15.880358934402466,62.97086886579414,12.686360836029053,78.82481138010964
10000000,10kds,False,6,14,8,1782176,10000,168,76.80178570747375,130.20530587776264,72.25060224533081,138.4071507950129
11000000,1kds,False,6,15,8,199760,1000,180,15.780187845230104,63.370601782935765,12.575767755508425,79.51800792138366
11000000,10kds,False,6,15,8,1783760,10000,180,75.63017344474792,132.22235973457816,71.09586668014526,140.65515292174743
12000000,1kds,False,6,16,8,201344,1000,192,15.761888027191162,63.44417612121588,12.65285038948059,79.03357498254991
12000000,10kds,False,6,16,8,1785344,10000,192,72.97439408302307,137.0343683651965,67.7034649848938,147.70292779300485
13000000,1kds,False,6,17,8,201608,1000,194,16.119086742401123,62.03825415055981,12.989925384521484,76.98273626664388
13000000,10kds,False,6,17,8,1786928,10000,204,71.45457553863525,139.94905049282718,67.00926113128662,149.23310347218558
14000000,1kds,False,6,18,8,199232,1000,176,15.737187147140505,63.54375725789746,12.532631397247314,79.79170281985964
14000000,10kds,False,6,18,8,1788512,10000,216,73.65824604034424,135.76212491569214,68.98854351043701,144.95160342799727
15000000,1kds,False,6,19,8,196856,1000,158,15.383107662200928,65.0063707515472,12.260807752609251,81.56069487242287
15000000,10kds,False,6,19,8,1790096,10000,228,73.90243601799011,135.31353685777955,69.28198504447937,144.3376657522147
16000000,1kds,False,6,20,8,194480,1000,140,15.409903764724731,64.89333192911495,12.34980845451355,80.97291578919386
16000000,10kds,False,6,20,8,1791680,10000,240,67.94531202316284,147.17718856881484,63.363359212875366,157.8199155509421
